name,latitude,longitude,category,published_gen_headroom_mw,summer_midday_p50_mw,winter_evening_p50_mw,demand_headroom_ratio
Bottesford,52.804149,-1.63215,Normal,9.2,2.3,3.6,0.3
Melton Mowbray,53.000525,-1.599699,Normal,18.9,9.3,14.2,0.5
Market Deeping,52.850252,-1.56439,Normal,13.8,0.1,0.0,0.0
West Deeping,52.943957,-1.48571,Normal,10.3,3.0,4.6,0.3
Market Overton,52.899129,-1.492395,Normal,8.3,1.6,2.8,0.2
Stamford,52.887859,-1.47438,Normal,18.4,8.4,13.3,0.5
Exton,52.893983,-1.453065,Normal,8.5,1.5,2.5,0.2
Oakham,52.924815,-1.440941,Normal,18.4,9.7,13.6,0.5
Uppingham,52.90679,-1.398336,Normal,6.1,3.9,4.9,0.6
Newark Junction,52.8411,-1.3618,Normal,27.8,15.3,19.2,0.5
Swinderby,52.959845,-1.309009,Normal,3.3,1.2,2.2,0.3
North Hykeham,52.898,-1.2749,Normal,16.2,10.0,15.1,0.6
Leadenham,53.088823,0.019581,Normal,6.1,3.9,6.3,0.6
Anderson Lane,52.968743,-0.294773,Normal,18.5,7.6,11.9,0.4
Waddington,52.921894,-0.057579,Normal,17.1,6.4,9.6,0.4
Tattershall,52.915491,-0.188961,Normal,1.5,1.3,2.8,0.9
Secklow Gate,52.848831,-0.276221,Normal,12.8,5.0,4.3,0.4
Thenford,52.816907,0.029522,Normal,5.9,3.8,5.8,0.6
Woodford Halse,52.778403,0.113698,Normal,7.2,2.7,6.0,0.4
Brackley Town,52.683462,-0.163956,Normal,11.4,10.1,12.0,0.9
Silverstone,52.765816,-0.384397,Normal,11.5,3.5,5.7,0.3
Kiln Farm,53.044549,-0.400293,Normal,18.4,9.4,12.3,0.5
Winslow,52.894823,-0.365005,Normal,7.5,2.5,5.4,0.3
Portway,52.995325,-0.738496,Normal,18.0,7.8,8.2,0.4
Bletchley,52.930565,-0.814707,Normal,20.3,14.3,18.0,0.7
Fox Milne,52.764357,-0.869689,Normal,14.9,10.1,11.4,0.7
Victoria Road,52.678181,-0.301201,Normal,16.0,11.3,13.6,0.7
Olney,52.671591,-0.355987,Normal,4.6,3.9,9.0,0.8
Wavendon Gate,52.75866,-0.666538,Normal,31.8,4.9,5.3,0.2
Braunston Road,52.651724,-0.471716,Normal,12.4,9.5,12.0,0.8
Weedon,52.685996,-0.652537,Normal,16.7,0.2,0.1,0.0
